typeFunct,success,execution_time,numberOfVertices,total_cost,deceleration
3,1,5.45882773399353,5,4.57353689263802,1.0
3,1,6.333470821380615,5,2.8373455990354524,10.0
3,0,42.70777416229248,0,0.0,0.01
3,1,9.164931535720825,9,37.41173991623687,0.1
3,1,3.4551467895507812,4,13.016358555607237,1.0
3,1,6.027812719345093,4,31.410980512918748,10.0
3,1,3.989065647125244,3,22.496803617796033,0.01
3,1,3.1524927616119385,3,1.4017914570469838,0.1
3,1,4.72355318069458,3,17.60603777605526,1.0
3,1,6.934075355529785,3,8.692689545292726,10.0
3,1,3.1575734615325928,3,13.009528450402824,0.01
3,1,3.744567632675171,3,1.6498761349893667,0.1
3,1,3.0130598545074463,3,19.742806776102945,1.0
3,1,3.1838173866271973,3,19.742806776102945,10.0
3,1,8.549540042877197,6,3.799782710370522,0.01
3,0,8.54286503791809,0,0.0,0.1
3,0,8.656388521194458,0,0.0,1.0
3,0,8.309876203536987,0,0.0,10.0
3,1,2.3926193714141846,2,2.8310892453208947,0.01
3,1,2.504047393798828,2,2.8310892453208947,0.1
3,1,2.461820363998413,2,2.8310892453208947,1.0
3,1,2.443082571029663,2,2.8310892453208947,10.0
3,0,22.571998596191406,0,0.0,0.01
3,0,28.32638955116272,0,0.0,0.1
3,1,12.422037363052368,5,9.961162834369798,1.0
3,1,19.23046040534973,5,9.961162834369798,10.0
3,0,31.29680609703064,0,0.0,0.01
3,0,34.10666346549988,0,0.0,0.1
3,1,18.31254291534424,3,115.65377219039291,1.0
3,1,17.27890920639038,3,115.65377219039291,10.0
3,1,3.9776980876922607,6,23.022018542979737,0.01
3,1,11.325074195861816,5,8.113048244489658,0.1
3,1,6.058014631271362,3,39.52678544090119,1.0
3,0,25.00495958328247,0,0.0,10.0
3,0,13.745612859725952,0,0.0,0.01
3,0,14.394699811935425,0,0.0,0.1
3,0,13.527690649032593,0,0.0,1.0
3,0,11.286326885223389,0,0.0,10.0
3,0,25.909430742263794,0,0.0,0.01
3,1,29.37596321105957,7,3.01014225107999,0.1
3,1,21.25742220878601,7,6.352185991973581,1.0
3,1,14.786279439926147,7,3.7641899885665633,10.0
3,1,2.426898956298828,2,2.088812482667409,0.01
3,1,2.352792263031006,2,2.088812482667409,0.1
3,1,2.40405011177063,2,2.088812482667409,1.0
3,1,2.4587934017181396,2,2.088812482667409,10.0
3,0,34.730276346206665,0,0.0,0.01
3,1,7.68128776550293,4,115.30984460051977,0.1
3,1,8.485416173934937,4,115.30984460051977,1.0
3,1,5.968199253082275,5,126.61810579207383,10.0
3,0,30.534119844436646,0,0.0,0.01
3,1,11.266689538955688,4,19.616330567106402,0.1
3,1,19.553386688232422,5,78.69932828515456,1.0
3,1,20.990544319152832,5,60.8714201198894,10.0
3,0,27.132892370224,0,0.0,0.01
3,0,28.29703116416931,0,0.0,0.1
3,0,34.064785957336426,0,0.0,1.0
3,0,35.475162982940674,0,0.0,10.0
3,1,18.39229917526245,4,28.299232388065363,0.01
3,0,43.3844108581543,0,0.0,0.1
3,1,16.041295289993286,5,53.63196249378325,1.0
3,1,22.124699592590332,5,53.63196249378325,10.0
3,1,2.8534114360809326,3,13.009528450402824,0.01
3,1,3.804694890975952,3,1.6498761349893667,0.1
3,1,3.1150479316711426,3,19.742806776102945,1.0
3,1,3.144010305404663,3,19.742806776102945,10.0
3,0,36.9131178855896,0,0.0,0.01
3,0,36.758442401885986,0,0.0,0.1
3,0,32.26794219017029,0,0.0,1.0
3,0,31.16423273086548,0,0.0,10.0
3,1,4.701969146728516,4,9.983994115182425,0.01
3,1,12.111599445343018,4,30.384511082396585,0.1
3,1,3.4512503147125244,3,19.609322436298854,1.0
3,1,3.4734647274017334,3,19.609322436298854,10.0
3,0,33.501487255096436,0,0.0,0.01
3,0,30.182555675506592,0,0.0,0.1
3,0,29.980886220932007,0,0.0,1.0
3,0,30.62369966506958,0,0.0,10.0
3,0,25.316606283187866,0,0.0,0.01
3,0,28.302613496780396,0,0.0,0.1
3,0,27.462803602218628,0,0.0,1.0
3,0,27.243342399597168,0,0.0,10.0
3,1,0.7668545246124268,2,2.9510852850995186,0.01
3,1,0.7825031280517578,2,2.9510852850995186,0.1
3,1,0.8530426025390625,2,2.9510852850995186,1.0
3,1,0.7863690853118896,2,2.9510852850995186,10.0
3,0,39.54813075065613,0,0.0,0.01
3,0,35.34410500526428,0,0.0,0.1
3,1,19.7435142993927,5,44.828225202159956,1.0
3,1,13.903801441192627,5,44.828225202159956,10.0
3,1,5.679588317871094,6,2.185378545981337,0.01
3,0,31.677815675735474,0,0.0,0.1
3,1,1.999098539352417,3,3.41909919930042,1.0
3,1,1.9518017768859863,3,3.4103868435280935,10.0
3,1,2.422325849533081,3,77.03997947972823,0.01
3,0,35.530967712402344,0,0.0,0.1
3,0,29.52090859413147,0,0.0,1.0
3,0,29.219862699508667,0,0.0,10.0
3,1,11.612722396850586,5,20.802188539261948,0.01
3,1,4.91172981262207,3,32.09424341723929,0.1
3,1,10.650455951690674,3,3.2162260224192574,1.0
3,1,7.200968503952026,3,3.2162260224192574,10.0
3,0,45.42609643936157,0,0.0,0.01
3,0,31.318060636520386,0,0.0,0.1
3,0,31.137085437774658,0,0.0,1.0
3,0,31.22860860824585,0,0.0,10.0
3,0,21.943421125411987,0,0.0,0.01
3,0,30.123038053512573,0,0.0,0.1
3,1,4.525593519210815,4,57.91983362365136,1.0
3,1,4.4807538986206055,4,57.91983362365136,10.0
3,0,16.428189277648926,0,0.0,0.01
3,1,4.413062810897827,5,42.40369601363381,0.1
3,1,12.827533960342407,5,42.40369601363381,1.0
3,1,14.691828489303589,5,42.40369601363381,10.0
3,0,19.339853048324585,0,0.0,0.01
3,0,31.19311809539795,0,0.0,0.1
